City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
398,Sibolga,ID,75.94,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
400,Lobito,AO,79.34,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
401,Calvinia,ZA,77.29,clear sky,-31.4707,19.776,Die Lemoenhuis
403,Kisarawe,TZ,75.07,broken clouds,-6.9,39.0667,Lenga Guest House
405,Gambo,CF,80.01,few clouds,4.6482,22.2633,
411,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
413,Mandiana,GN,88.74,clear sky,10.6333,-8.6833,Motels rouzo
417,Tierra Colorada,MX,81.16,few clouds,17.1667,-99.5833,motel
424,Winneba,GH,81.27,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
430,Tamandare,BR,77.02,light rain,-8.7597,-35.1047,Pousada 100 Passos
435,Padang,ID,77.59,moderate rain,-0.9492,100.3543,Mercure Padang
439,Zemio,CF,80.92,broken clouds,5.0314,25.1361,OCHA Office
441,Kumba,CM,75.25,overcast clouds,4.6363,9.4469,El Bethel Hotel
447,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
448,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
450,Oussouye,SN,78.35,overcast clouds,12.485,-16.5469,Auberge du Routard
451,Biak,ID,76.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
458,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
459,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
460,Axim,GH,80.62,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
462,Sorong,ID,80.44,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
464,Paujiles,HN,77.99,overcast clouds,15.1,-87.35,
466,Port-Gentil,GA,82.35,overcast clouds,-0.7193,8.7815,Fengshui Residence
471,Alugan,PH,77.94,overcast clouds,12.2188,125.4808,JM Lodge
472,Kutum,SD,78.26,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
474,Thinadhoo,MV,82.42,clear sky,0.5333,72.9333,
481,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
482,Labuhan,ID,77.58,overcast clouds,-6.8844,112.2051,DoubleFAG
483,Sechura,PE,84.47,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
485,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
488,Canoinhas,BR,84.4,overcast clouds,-26.1772,-50.39,Santa Catarina Plaza Hotel
490,Rocha,UY,82.44,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
492,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
