City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
52,Albemarle,US,2022-03-05 18:55:54,35.3501,-80.2001,72.72,53,40,0.0,scattered clouds
53,Nanortalik,GL,2022-03-05 18:55:55,60.1432,-45.2371,24.69,80,100,23.67,light snow
54,Cape Town,ZA,2022-03-05 18:53:38,-33.9258,18.4232,75.11,58,0,14.97,clear sky
55,Malanje,AO,2022-03-05 18:55:55,-9.5402,16.341,65.28,90,92,2.64,light rain
56,Ahipara,NZ,2022-03-05 18:55:56,-35.1667,173.1667,63.36,84,54,7.63,broken clouds
57,Norman Wells,CA,2022-03-05 18:48:25,65.282,-126.8329,-2.16,78,20,3.44,few clouds
58,Luderitz,NA,2022-03-05 18:55:56,-26.6481,15.1594,70.18,73,0,7.87,clear sky
59,Kodiak,US,2022-03-05 18:55:57,57.79,-152.4072,36.36,93,100,4.65,overcast clouds
60,Asau,RO,2022-03-05 18:55:57,46.4333,26.4,31.28,94,90,1.72,overcast clouds
61,Upata,VE,2022-03-05 18:55:58,8.0086,-62.3989,87.19,37,98,5.21,overcast clouds
62,Butaritari,KI,2022-03-05 18:55:58,3.0707,172.7902,81.82,79,40,17.98,scattered clouds
63,Tuktoyaktuk,CA,2022-03-05 18:55:58,69.4541,-133.0374,10.4,72,20,14.97,few clouds
64,Salamiyah,SY,2022-03-05 18:55:59,35.0113,37.0532,48.38,73,39,5.95,scattered clouds
65,Lompoc,US,2022-03-05 18:51:07,34.6391,-120.4579,57.13,63,75,19.57,broken clouds
66,Poya,NC,2022-03-05 18:55:59,-21.35,165.15,75.43,82,65,1.1,broken clouds
67,Chokurdakh,RU,2022-03-05 18:56:00,70.6333,147.9167,-28.26,100,100,3.24,overcast clouds
68,Tiksi,RU,2022-03-05 18:56:00,71.6872,128.8694,-18.29,99,63,5.17,broken clouds
69,Tres De Maio,BR,2022-03-05 18:56:00,-27.7733,-54.24,91.11,24,72,11.41,broken clouds
70,La Ronge,CA,2022-03-05 18:56:01,55.1001,-105.2842,16.02,44,75,3.44,broken clouds
71,Pisco,PE,2022-03-05 18:56:01,-13.7,-76.2167,75.25,73,0,10.36,clear sky
72,Ardatov,RU,2022-03-05 18:56:02,55.2421,43.097,25.25,84,100,16.51,overcast clouds
73,Ola,RU,2022-03-05 18:56:02,59.5833,151.2833,-4.7,87,16,9.26,few clouds
74,Panaba,MX,2022-03-05 18:56:02,21.2833,-88.2667,92.46,34,56,15.1,broken clouds
75,Arraial Do Cabo,BR,2022-03-05 18:56:03,-22.9661,-42.0278,89.56,61,0,14.97,clear sky
76,Port Elizabeth,ZA,2022-03-05 18:51:32,-33.918,25.5701,71.89,88,40,10.36,scattered clouds
77,Saint-Georges,GD,2022-03-05 18:56:04,12.0564,-61.7485,85.68,54,40,25.32,scattered clouds
78,Cherskiy,RU,2022-03-05 18:56:05,68.75,161.3,-34.11,100,84,3.31,broken clouds
79,Barrow,US,2022-03-05 18:56:05,71.2906,-156.7887,8.65,89,100,9.28,overcast clouds
80,Imbituba,BR,2022-03-05 18:56:05,-28.24,-48.6703,87.69,76,8,15.32,clear sky
81,Hobart,AU,2022-03-05 18:53:48,-42.8794,147.3294,57.06,64,100,19.57,overcast clouds
82,College,US,2022-03-05 18:50:34,64.8569,-147.8028,19.65,87,75,0.0,broken clouds
83,Pacific Grove,US,2022-03-05 18:46:36,36.6177,-121.9166,52.9,73,100,21.99,overcast clouds
84,Liuhe,CN,2022-03-05 18:56:06,42.2401,125.7172,12.81,81,9,5.01,clear sky
85,Ossora,RU,2022-03-05 18:56:06,59.2353,163.0719,11.5,94,100,8.72,overcast clouds
86,Acajutla,SV,2022-03-05 18:57:07,13.5928,-89.8275,92.8,49,95,11.43,overcast clouds
87,Algiers,DZ,2022-03-05 18:48:50,36.7525,3.042,53.42,82,40,6.91,scattered clouds
88,Vangaindrano,MG,2022-03-05 18:57:07,-23.35,47.6,75.74,90,30,4.23,scattered clouds
89,Santa Fe,AR,2022-03-05 18:54:01,-31.6333,-60.7,73.02,98,100,1.99,heavy intensity rain
90,Beloha,MG,2022-03-05 18:57:08,-25.1667,45.05,73.78,85,7,13.51,clear sky
91,Skibbereen,IE,2022-03-05 18:52:35,51.55,-9.2667,44.4,69,5,7.34,clear sky
92,Omboue,GA,2022-03-05 18:57:08,-1.5746,9.2618,78.89,86,97,5.77,light rain
93,Amahai,ID,2022-03-05 18:57:08,-3.3333,128.9167,78.44,84,97,4.03,overcast clouds
94,Wanning,CN,2022-03-05 18:48:23,18.8003,110.3967,70.5,92,66,3.27,broken clouds
95,Carnarvon,AU,2022-03-05 18:47:10,-24.8667,113.6333,71.67,73,5,6.91,clear sky
96,Puerto Carreno,CO,2022-03-05 18:55:11,6.189,-67.4859,95.99,34,96,10.2,overcast clouds
97,Bethel,US,2022-03-05 18:55:33,41.3712,-73.414,45.18,42,100,8.05,overcast clouds
98,Rolla,US,2022-03-05 18:55:16,37.9514,-91.7713,70.93,56,100,23.0,overcast clouds
99,Agadez,NE,2022-03-05 18:57:09,19.75,10.25,83.3,14,100,7.76,overcast clouds
100,Kavieng,PG,2022-03-05 18:57:10,-2.5744,150.7967,81.41,77,100,5.01,overcast clouds
101,Valdivia,CL,2022-03-05 18:57:10,-39.8142,-73.2459,65.01,49,83,7.45,broken clouds
102,Panguipulli,CL,2022-03-05 18:57:11,-39.6333,-72.3333,69.21,34,49,4.54,scattered clouds
103,Sinnar,SD,2022-03-05 18:57:11,13.5691,33.5672,89.4,22,43,10.13,scattered clouds
104,Waipawa,NZ,2022-03-05 18:57:11,-41.4122,175.5153,61.45,77,54,7.27,broken clouds
105,Lorengau,PG,2022-03-05 18:57:12,-2.0226,147.2712,77.49,81,100,3.31,overcast clouds
106,Dikson,RU,2022-03-05 18:57:12,73.5069,80.5464,-22.0,100,99,8.48,overcast clouds
107,Svetlogorsk,BY,2022-03-05 18:57:12,52.6333,29.7333,27.99,77,100,7.16,overcast clouds
108,Alofi,NU,2022-03-05 18:57:13,-19.0595,-169.9187,78.69,89,59,4.61,broken clouds
109,Lavrentiya,RU,2022-03-05 18:57:13,65.5833,-171.0,11.59,95,100,4.52,overcast clouds
110,San Patricio,US,2022-03-05 18:57:14,28.017,-97.5169,85.05,65,99,19.73,overcast clouds
111,Porto Novo,BJ,2022-03-05 18:57:14,6.4965,2.6036,84.02,74,45,7.63,scattered clouds
112,Barra Do Garcas,BR,2022-03-05 18:57:15,-15.89,-52.2567,91.98,55,40,2.3,scattered clouds
113,Bilibino,RU,2022-03-05 18:57:15,68.0546,166.4372,-27.8,99,19,4.27,few clouds
114,Paderborn,DE,2022-03-05 18:57:15,51.7191,8.7544,37.58,62,0,6.91,clear sky
115,Penzance,GB,2022-03-05 18:57:16,50.1186,-5.5371,44.76,69,6,17.65,clear sky
116,Bereda,ES,2022-03-05 18:57:16,43.2686,-7.5406,46.74,83,21,8.14,few clouds
117,Kostomuksha,RU,2022-03-05 18:57:16,64.571,30.5767,22.57,94,100,8.95,overcast clouds
118,Ilulissat,GL,2022-03-05 18:57:17,69.2167,-51.1,33.04,60,100,16.26,overcast clouds
119,Hermanus,ZA,2022-03-05 18:57:17,-34.4187,19.2345,71.8,75,0,8.79,clear sky
120,Mombetsu,JP,2022-03-05 18:57:17,44.3525,143.3525,32.86,93,100,3.47,overcast clouds
121,Half Moon Bay,US,2022-03-05 18:57:18,37.4636,-122.4286,55.06,61,75,17.27,broken clouds
122,Bambous Virieux,MU,2022-03-05 18:55:08,-20.3428,57.7575,81.21,89,75,9.22,broken clouds
123,Celestun,MX,2022-03-05 18:57:18,20.8667,-90.4,84.63,57,8,9.73,clear sky
124,Shingu,JP,2022-03-05 18:57:19,33.7333,135.9833,45.91,59,38,9.01,scattered clouds
125,Srednekolymsk,RU,2022-03-05 18:57:19,67.45,153.6833,-32.12,100,41,2.1,scattered clouds
126,Roebourne,AU,2022-03-05 18:57:19,-20.7833,117.1333,83.89,71,18,14.97,few clouds
127,Saskylakh,RU,2022-03-05 18:57:20,71.9167,114.0833,-16.28,99,100,0.02,light snow
128,Muskegon,US,2022-03-05 18:57:20,43.3,-86.1334,61.21,43,75,6.91,broken clouds
129,Ponta Do Sol,PT,2022-03-05 18:57:21,32.6667,-17.1,65.07,71,0,5.32,clear sky
130,Puerto Ayora,EC,2022-03-05 18:57:21,-0.7393,-90.3518,84.16,90,81,7.0,broken clouds
131,Shizilu,CN,2022-03-05 18:57:21,35.1711,118.8289,36.21,36,93,5.17,overcast clouds
132,Esperance,AU,2022-03-05 18:57:22,-33.8667,121.9,64.24,91,1,8.52,clear sky
133,Atuona,PF,2022-03-05 18:57:22,-9.8,-139.0333,77.13,80,100,11.41,light rain
134,Finschhafen,PG,2022-03-05 18:57:22,-6.6024,147.8681,79.29,85,64,6.17,broken clouds
135,Bilma,NE,2022-03-05 18:58:23,18.6853,12.9164,86.56,7,100,7.09,overcast clouds
136,Shymkent,KZ,2022-03-05 18:55:59,42.3,69.6,45.19,93,40,6.71,scattered clouds
137,Genhe,CN,2022-03-05 18:58:23,50.7833,121.5167,-11.45,100,89,1.16,overcast clouds
138,Moranbah,AU,2022-03-05 18:58:24,-22.0016,148.0466,78.78,86,97,13.49,overcast clouds
139,Okhotsk,RU,2022-03-05 18:58:24,59.3833,143.3,0.37,94,93,7.0,overcast clouds
140,Sulangan,PH,2022-03-05 18:58:24,11.1373,123.7228,79.83,84,99,13.58,light rain
141,Hambantota,LK,2022-03-05 18:58:28,6.1241,81.1185,79.14,100,40,3.44,scattered clouds
142,Cayenne,GF,2022-03-05 18:48:31,4.9333,-52.3333,78.84,90,75,3.44,broken clouds
143,Ismailia,EG,2022-03-05 18:58:28,30.6043,32.2723,60.55,57,8,14.85,clear sky
144,Lebu,CL,2022-03-05 18:57:21,-37.6167,-73.65,61.97,64,0,14.18,clear sky
145,Hamilton,US,2022-03-05 18:54:08,39.1834,-84.5333,75.83,31,10,3.0,clear sky
146,Kruisfontein,ZA,2022-03-05 18:58:29,-34.0033,24.7314,67.95,85,0,11.36,clear sky
147,Zanesville,US,2022-03-05 18:54:54,39.9404,-82.0132,74.88,33,10,5.99,clear sky
148,Meulaboh,ID,2022-03-05 18:51:27,4.1363,96.1285,76.5,86,100,4.14,light rain
149,Airai,TL,2022-03-05 18:58:30,-8.9266,125.4092,60.06,89,95,1.88,overcast clouds
150,Agua Branca,BR,2022-03-05 18:58:30,-5.8922,-42.6361,82.06,72,100,5.23,moderate rain
151,Ancud,CL,2022-03-05 18:58:31,-41.8697,-73.8203,64.42,69,100,12.37,overcast clouds
152,Yamada,JP,2022-03-05 18:58:31,39.4667,141.95,33.24,63,19,13.53,few clouds
153,Coahuayana,MX,2022-03-05 18:58:31,18.7333,-103.6833,88.66,38,0,8.08,clear sky
154,Gangtok,IN,2022-03-05 18:58:32,27.3333,88.6167,47.55,41,0,6.55,clear sky
155,Tikapur,NP,2022-03-05 18:58:32,28.5,81.1333,59.67,56,0,2.75,clear sky
156,Mar Del Plata,AR,2022-03-05 18:56:36,-38.0023,-57.5575,71.62,90,0,13.0,clear sky
157,Tado,CO,2022-03-05 18:58:33,5.266,-76.5649,80.42,80,100,1.5,overcast clouds
158,Adrar,MR,2022-03-05 18:58:33,20.5022,-10.0711,70.59,17,0,10.63,clear sky
159,Kapaa,US,2022-03-05 18:57:24,22.0752,-159.319,73.38,75,3,5.93,clear sky
160,Bengkulu,ID,2022-03-05 18:58:35,-3.8004,102.2655,76.39,89,100,4.23,moderate rain
161,Belawan,ID,2022-03-05 18:58:35,3.7755,98.6832,79.09,85,100,3.11,overcast clouds
162,Salalah,OM,2022-03-05 18:52:38,17.0151,54.0924,72.39,65,28,0.89,scattered clouds
163,Sorland,NO,2022-03-05 18:52:33,67.667,12.6934,38.43,68,93,26.84,overcast clouds
164,Roald,NO,2022-03-05 18:58:36,62.5833,6.1333,40.91,87,40,11.5,scattered clouds
165,Acari,PE,2022-03-05 18:58:36,-15.4311,-74.6158,84.33,55,55,11.79,broken clouds
166,Loa Janan,ID,2022-03-05 18:58:37,-0.583,117.095,74.26,96,100,2.39,overcast clouds
167,Cidreira,BR,2022-03-05 18:58:37,-30.1811,-50.2056,82.38,75,31,15.57,scattered clouds
168,Katobu,ID,2022-03-05 18:58:38,-4.9408,122.5276,75.99,92,94,2.89,overcast clouds
169,Sitka,US,2022-03-05 18:58:38,57.0531,-135.33,42.69,87,100,4.61,mist
170,Longyearbyen,SJ,2022-03-05 18:58:38,78.2186,15.6401,24.64,68,0,0.0,clear sky
171,Marawi,PH,2022-03-05 18:58:39,7.9986,124.2928,67.64,94,99,1.63,overcast clouds
172,Komsomolskiy,UZ,2022-03-05 18:58:39,40.4272,71.7189,56.12,67,75,6.91,moderate rain
